"seed","nind","size","seq","od","bias","maf","oaf","rho","ploidy","delta","pAB","pAb","paB","pab","updog_rho","polyrad_rho","uniform_rho","horse_rho"
8,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.801942821682972,0.794067606952967,0.527712975514247,0.416117152502745
1,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.602050816033682,0.598450389103638,0.47138589998428,0.475601120096517
191,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.862216438120152,0.764141424529313
185,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.560395013669138,0.554345510153185,0.454575034022576,0.498021773660472
17,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.747040160475891,0.743518484604774,0.626515150860169,0.543469376568804
16,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.970632746897569,0.9612350368089,0.642053948115848,0.521629657870679
113,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.71723058511623,0.609924985824811
79,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.436520594295171,0.428974039504494,0.268068069309647,0.332292118866843
188,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
57,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.885478435889496,0.885960092538949,0.865634411911518,0.871290921754179
174,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.821220609371133,0.821014135793641,0.803278064898699,0.804032338313152
177,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,0.888922418352127
94,10000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.909195399347128,0.904503901187583,0.747292727351802,0.668764828451198
67,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.900787942545989,0.900455579893307,0.888155834229092,0.886402493095092
200,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
71,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.911928452727218,0.88982381593867
13,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.879231292560696,0.870505095494116,0.577669239043987,0.466489348665953
162,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.955995461496804,0.945447717385879,0.63306842601248,0.586948996901174
49,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.917188880109665,0.912374666355281,0.751844133736893,0.674555264020611
121,10000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.903793934068756,0.899113080859104,0.744194335431071,0.668297116470425
113,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.890841070566118,0.886173237227792,0.730208540452909,0.666221751088453
152,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.909460951067823,0.900574127096838,0.600261512836078,0.479602761571234
15,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.88835821185744,0.888314948184844,0.876119647016042,0.874098601785069
54,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,0.895353728777084
194,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.978314012698696,0.979199351169472,0.958702157711558,0.962599616740853
180,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.920751039698957,0.916074428208507,0.754401861813079,0.677717299948231
23,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.511919664889751,0.505654884577401,0.325923579019533,0.294910882211617
141,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.898754675239811,0.898328970467062,0.886619649675019,0.884729468229155
166,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.76445845466314,0.756827660330988,0.500773986097155,0.396598932194565
71,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.912241293456409,0.905538738110265,0.592628451857775,0.345445259319042
77,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.963812156996822,0.995661212738694
30,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.863536124486486,0.86248900302915,0.85944217644738,0.846794359856435
72,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.829405158053558,0.82155642718245,0.549497226358417,0.445173600503866
